"re75","treat","age"
11146.55,0,29
0,1,31
1817.284,1,29
1031.226,0,32
1555.79,0,21
0,0,16
2939.71,0,21
0,0,43
4978.887,0,38
1844.032,0,39
2657.057,1,19
2535.097,0,22
162.9194,0,29
2286.242,0,17
1099.258,0,20
0,0,35
327.629,0,24
0,1,25
12396.19,0,20
1195.935,0,40
4579.645,0,16
0,1,42
0,1,19
0,1,21
7426.258,0,40
0,1,41
385.2741,1,19
0,1,23
558.5806,0,18
3213.629,0,24
0,0,39
0,0,21
1679.323,0,22
2565.532,0,24
2754.646,1,26
3550.075,1,27
2674.742,0,43
2615.276,1,19
0,1,17
0,0,20
0,1,17
0,1,40
0,0,24
386.7097,0,18
1901.323,0,25
0,0,21
0,0,24
171.871,0,17
4400.613,0,22
0,0,22
961.4032,0,40
2255.806,0,28
218.4194,0,18
1383.919,0,28
0,1,46
5546.419,0,30
0,1,26
0,1,25
0,0,20
216.629,0,23
205.8871,0,19
10941.35,1,33
2696.226,0,18
0,0,17
0,1,30
3254.806,0,31
0,1,21
0,1,25
8081.516,0,29
0,1,24
3090.732,1,25
0,0,19
0,0,16
297.1935,0,17
4010.323,0,34
5794.831,1,26
6087.097,0,35
2409.274,1,25
300.7742,0,19
7565.903,0,26
2666.274,1,27
0,1,24
0,1,18
0,0,19
136.0645,0,49
1147.597,0,20
0,1,28
0,1,27
14265.29,0,42
272.129,0,23
1666.113,1,24
1709.758,0,19
0,0,24
5588.664,1,22
1741.984,0,20
3695.897,1,21
5544.629,0,28
0,1,26
0,0,19
0,0,26
0,0,16
3226.161,0,18
5174.032,0,38
501.0741,1,23
0,1,33
0,1,20
13776.53,0,25
479.8065,0,16
608.7097,0,45
8695.597,0,36
2611.218,1,31
8853.674,1,29
6099.629,0,25
0,0,16
6871.856,1,28
7635.726,0,45
11536.57,1,25
0,0,30
4463.274,0,22
0,0,54
0,0,26
3743.565,0,24
152.1774,0,17
751.9355,0,27
6942.871,0,25
0,0,43
0,1,26
0,0,55
0,0,23
1448.371,0,26
805.6452,0,20
469.0645,0,22
0,0,33
0,0,17
6276.871,0,21
42.96774,0,31
39.3871,0,20
0,0,50
17976.15,1,35
3231.532,0,27
5922.387,0,40
112.7903,0,19
0,0,19
0,1,30
0,0,34
0,1,19
0,0,19
0,1,29
0,0,46
0,0,52
7867.916,1,33
5749.331,1,21
565.7419,0,41
0,1,19
676.7419,0,19
6038.758,0,22
4293.194,0,24
248.8548,0,17
0,1,31
0,1,21
0,0,42
0,1,27
0,0,19
2080.355,0,30
0,1,21
6563.323,0,41
4542.048,0,29
8441.371,0,39
0,0,23
0,0,16
0,0,27
0,1,25
134.2742,0,20
0,1,46
537.0968,0,19
2413.355,0,24
7467.435,0,25
0,1,21
57.29032,0,18
0,1,17
0,1,18
0,0,17
537.0968,0,39
964.9839,0,19
2203.887,0,50
1713.15,1,23
0,0,22
9098.419,0,27
1378.548,0,32
165.2077,1,20
919.5579,1,18
0,1,22
0,1,23
0,1,20
1890.581,0,21
1394.661,0,23
0,1,26
0,1,27
7263.339,0,25
2116.161,0,48
334.0494,1,21
17806.55,0,26
0,1,25
0,0,17
3145.597,0,23
3532.306,0,20
0,1,18
0,0,16
5299.355,0,46
0,0,16
300.7742,0,42
0,1,25
791.3226,0,20
0,1,33
