"Tx","nodegree","re78"
0,1,209.8372
0,0,14065
0,1,4974.028
0,0,16747.08
1,1,0
0,1,19993.64
1,1,1773.423
0,1,2664.341
0,1,17358.85
0,1,1223.558
0,0,1533.88
0,0,0
0,1,0
0,1,5748.356
0,1,701.9201
0,0,0
0,0,7698.955
0,1,2782.559
1,1,0
0,0,15538.29
1,1,11142.87
0,0,7314.747
0,0,15436.33
0,1,11087.38
0,1,6423.677
1,0,5587.503
1,0,10976.51
1,1,11233.26
1,1,11163.17
0,1,7196.528
1,1,4814.627
0,1,6231.573
1,0,9598.541
0,1,20243.38
0,0,2160.436
0,0,11594.24
0,0,0
1,1,0
0,1,0
0,1,0
0,1,8844.194
0,1,18323.81
1,0,1652.637
0,0,4787.834
0,0,0
1,1,1067.506
0,1,0
1,1,0
0,0,0
0,1,0
0,1,542.3257
0,1,25564.67
0,0,15353.58
0,1,19464.61
0,1,7933.914
1,1,8546.715
0,0,5535.564
1,1,0
0,1,1306.31
0,1,6290.682
1,0,2456.153
0,1,2820.98
0,0,3262.82
1,1,3595.894
1,1,10694.29
0,0,9453.017
1,1,6943.342
1,0,22163.25
1,1,929.8839
0,1,1213.214
0,0,1273.8
0,0,3020.473
0,0,1491.026
0,1,12760.17
1,1,4849.559
0,1,3707.616
0,1,0
0,1,3372.172
1,1,13385.86
0,1,1725.985
1,1,8087.487
0,1,1053.619
0,1,5661.171
0,0,0
0,0,6032.08
0,0,6680.802
0,1,6083.8
0,1,0
0,0,2232.845
0,0,11911.95
1,0,0
1,1,9737.154
0,1,0
0,1,6145.865
0,0,4843.988
1,1,0
1,1,5615.189
0,0,7981.201
0,1,3683.972
0,0,877.7696
1,1,762.9146
1,1,3881.284
0,1,31.03226
1,1,0
0,1,25564.67
0,1,5486.799
0,1,135.9508
0,0,12108.49
1,1,3196.571
0,1,25514.43
1,1,4181.942
1,0,8484.239
0,1,9922.934
0,1,0
0,0,0
1,1,12187.41
1,1,590.7818
0,1,220.1813
0,1,19438.02
0,0,0
0,1,7543.794
1,1,8061.485
1,1,549.2984
0,1,15892.95
0,0,0
0,1,0
0,0,8133.407
1,1,17685.18
0,1,9732.307
0,0,0
0,0,876.2919
0,1,2559.422
0,0,16015.6
0,1,0
0,1,2281.61
0,0,12593.19
0,1,964.9555
0,0,0
1,1,672.8773
0,1,2862.356
0,1,3358.873
1,0,12590.71
1,1,8472.158
0,1,2136.793
0,0,1892.968
0,0,18208.55
1,1,995.7002
0,0,0
0,1,1525.014
1,1,6456.697
0,1,1745.195
0,1,12418.81
1,0,7479.656
0,1,14344.29
1,0,559.4432
0,1,6145.865
1,1,16218.04
0,0,22094.97
0,1,8900.347
1,1,1460.36
0,0,0
0,0,0
0,0,0
1,1,7506.146
0,0,25564.67
0,1,5306.516
0,1,4112.513
0,0,10746.03
0,1,0
0,1,650.1997
0,1,15406.78
1,1,1923.938
0,1,7146.286
0,1,9241.702
0,1,0
0,0,0
1,1,3462.564
0,1,5495.665
0,1,6918.716
0,1,0
0,0,14038.4
1,1,18783.35
0,1,0
1,0,3191.753
0,0,7987.112
0,1,251.2135
1,1,0
1,1,5445.2
0,1,6756.166
1,1,0
0,0,7684.178
0,1,6694.101
0,1,11149.45
1,0,0
1,1,8881.665
0,1,2451.548
0,1,0
0,1,1161.493
0,1,0
0,1,5040.525
