"out1","pred1","pred2"
158.82,24,85.77
165.07,34,75.1
169.51,40,81.59
142.8,16,74.77
156.39,35,70.89
174.94,36,82.8
171.69,28,70.04
171.74,28,82.82
156.33,28,85.06
130.85,26,80.17
157.28,29,78.45
134.92,25,73.01
162.11,27,67.48
140.72,32,90.99
158.37,39,81.07
171.52,31,90.77
136.56,28,65.87
141.19,26,82.83
152.08,26,88.88
186.8,49,80.48
170.1,33,78.5
154.72,29,71.42
211.62,29,105.5
187.46,35,89.81
175.2,27,102.69
134.86,22,81.76
201.43,36,73.22
142.62,25,62.64
138.77,32,73.17
154.29,25,83.52
171.74,40,92.96
151.06,29,83.83
123.17,27,66.74
161.6,28,88.82
130.32,21,61
125.72,24,76.41
83.26,17,77.01
120.34,23,57.42
164.66,30,91.84
155.59,29,73.33
166.23,42,76.79
169.43,25,97.54
138.85,26,88.44
164.57,30,79.5
165.42,25,86.97
156.92,25,85.59
187.09,24,100.75
155.65,23,84.11
162.02,28,86.88
160.59,29,84.97
144.47,19,76.27
169.85,28,81.97
172.34,24,100.46
149.35,25,70.29
138.49,31,82.26
170.23,36,97.15
191.66,44,77.98
119.26,27,68.16
164.95,43,70.36
149.26,24,76.12
168.7,37,70.63
169.73,50,77.67
154.49,32,75.83
120.91,27,78.6
166.47,32,85.68
167.73,44,88.3
161.46,24,100.94
148.46,42,79.98
170.58,41,76.95
186.1,34,98.45
170.31,32,101.25
182.56,29,81.32
160.78,29,76.81
157.66,37,58.93
222.14,46,97.74
135.97,31,70.75
145.84,22,67.31
199.3,27,117.33
161.33,34,83.62
158.8,30,80.4
109.53,31,48.01
161.74,31,79.6
144.52,22,92.51
172.75,31,85.77
160.73,38,91.75
189.11,37,104.6
160.42,36,94.83
143.91,29,74.7
137.87,31,89.25
146.6,24,78.42
166.23,32,74.34
130.95,34,46.53
134.26,44,71.32
160.47,39,86.65
202.47,29,106.82
194.07,34,86.81
135.09,24,88.24
147.8,38,69.21
172.31,39,82.75
157.2,47,55.86
