"re75","treat","age"
42.96774,0,22
4764.048,0,23
0,0,16
4876.839,0,23
0,1,38
1888.79,0,17
934.4454,1,27
0,0,34
4096.258,0,47
470.8548,0,21
0,0,27
0,0,20
585.4355,0,36
0,0,22
889.7903,0,39
0,0,36
293.6129,0,21
4866.097,0,23
0,1,44
4468.645,0,30
0,1,27
4253.806,0,28
3172.452,0,19
9397.403,0,35
182.6129,0,17
0,1,25
4878.937,1,29
936.4386,1,23
0,1,18
6701.177,0,29
0,1,18
1525.355,0,17
0,1,28
1623.823,0,18
0,0,19
0,0,20
0,0,50
0,1,17
1036.597,0,32
4713.919,0,37
388.5,0,21
1434.048,0,39
377.5686,1,20
2456.323,0,21
0,0,26
0,1,37
0,0,55
0,1,25
3879.629,0,21
630.1935,0,18
1113.581,0,16
7087.887,0,33
524.5645,0,32
0,0,24
841.4516,0,18
0,1,45
3213.629,0,23
0,1,18
902.3226,0,18
0,0,20
0,1,42
0,0,46
1546.839,0,24
0,1,22
0,1,28
7882.79,0,22
1484.994,1,20
357.9499,1,27
214.5636,1,18
8441.371,0,21
320.4677,0,24
4361.226,0,25
0,0,48
0,0,17
2288.675,1,24
320.4677,0,16
0,0,18
0,0,19
2226.266,1,26
254.2258,0,16
0,1,31
0,0,17
9071.565,0,27
0,0,48
0,0,34
6797.855,0,20
0,0,20
0,0,36
1208.468,0,18
10301.52,0,40
0,1,27
798.9079,1,18
956.0323,0,50
5911.645,0,47
630.1935,0,18
0,1,25
2777.355,1,20
3405.194,0,25
1478.806,0,18
0,0,37
0,1,29
0,1,23
0,0,45
0,1,17
8502.242,0,40
11404.35,0,34
4672.742,0,19
0,0,45
2836.506,1,28
7474.597,0,33
25142.24,1,33
3039.96,1,23
10929.92,0,42
0,0,37
0,0,21
0,1,25
0,1,30
4218,0,50
4323.629,0,47
2719.5,0,35
0,0,27
0,1,17
0,1,27
0,0,20
0,0,21
0,0,19
3503.661,0,29
798.9079,1,19
5965.355,0,31
114.5806,0,40
2228.952,0,40
0,0,16
3140.226,0,51
0,0,55
0,0,18
0,0,27
0,0,39
5012.903,0,54
6788.958,1,26
0,0,26
4232.323,0,47
8455.504,1,22
0,1,32
189.7742,0,16
2239.694,0,25
11105.37,0,22
0,1,24
4620.823,0,19
3813.387,0,51
0,1,22
1086.726,0,35
5181.194,0,25
0,1,29
2873.468,0,19
1117.439,1,23
205.8871,0,16
0,1,17
11563.69,0,31
981.0968,0,17
1392.853,1,26
7055.661,0,20
2771.419,0,23
0,0,53
0,1,27
0,0,50
0,0,18
485.1774,0,16
7202.468,0,21
451.1613,0,17
189.7742,0,26
10357.02,0,28
0,1,29
0,0,18
5806.016,0,42
166.5,0,23
578.2742,0,21
3836.986,1,22
3480.387,0,20
1453.742,0,17
0,0,55
7496.081,0,27
0,1,25
1976.516,0,22
0,1,25
1265.758,0,45
0,0,29
0,1,17
1253.439,1,17
1391.081,0,18
0,1,23
968.5645,0,32
1323.048,0,29
8461.065,0,27
334.0493,1,27
0,1,20
1188.774,0,16
44.75806,0,16
0,0,31
0,0,16
0,0,24
