"Tx","nodegree","re78"
0,0,6420.722
1,1,14509.93
1,0,0
0,0,0
0,1,7675.312
0,1,5551.819
0,0,0
0,1,0
0,1,8720.065
0,1,9206.237
1,1,9970.681
0,1,14187.65
0,0,9473.705
0,1,1613.677
0,1,0
0,0,11269.14
0,0,8547.171
1,1,9897.049
0,0,17765.23
0,0,3873.121
0,1,0
1,0,20505.93
1,1,3228.503
1,0,17094.64
0,1,12104.06
1,1,7284.986
1,1,8124.715
1,1,7693.4
0,1,642.8111
0,1,0
0,0,1202.869
0,1,6708.879
0,0,25564.67
0,1,2173.736
1,1,26372.28
1,1,0
0,1,6395.601
1,1,4146.603
1,1,3023.879
0,1,12618.31
1,1,1953.268
1,1,23005.6
0,1,818.6605
0,1,0
0,1,1898.879
0,0,17627.8
0,0,2284.565
0,1,1483.637
0,1,2453.026
0,0,3342.618
0,0,17717.94
0,0,7310.313
0,1,7503.896
0,1,2404.261
1,1,3094.156
0,0,14421.13
1,1,17230.96
1,1,6181.88
0,0,913.235
0,0,0
0,1,0
1,0,15952.6
0,0,12120.31
0,1,14942.77
1,1,0
0,0,25564.67
1,0,8048.603
1,0,2348.973
0,0,0
1,1,0
1,0,0
0,0,8923.991
0,1,1730.418
0,1,54.67588
0,1,18133.18
1,0,1424.944
0,1,15177.73
1,0,0
0,1,18510
0,0,2838.713
1,1,0
1,1,0
1,1,2787.96
0,0,0
0,1,14963.46
0,0,15554.55
1,1,0
1,1,18739.93
0,1,15491.01
0,0,582.2243
1,1,4032.708
0,0,0
0,0,2448.593
1,1,13228.28
0,1,0
1,1,4279.613
0,1,10289.41
1,1,9265.788
0,0,0
0,0,0
0,1,1495.459
0,1,15814.63
0,1,0
1,0,671.3318
1,1,289.7899
1,0,0
0,1,0
0,1,6210.885
0,0,0
0,0,21905.82
1,0,2484.549
1,1,5112.014
0,1,122.6513
0,1,15997.87
1,1,0
0,1,15931.37
1,0,36646.95
0,1,3151.991
0,1,10642.59
0,0,0
0,1,3700.227
0,0,0
0,1,10301.23
0,0,0
0,0,461.0507
0,0,16860.86
1,0,10747.35
0,1,0
0,1,4183.444
0,0,0
0,0,1454.083
0,0,14289.62
0,0,5841.453
0,1,422.6298
0,1,10923.35
0,0,11023.84
0,1,6280.338
0,1,9166.338
1,1,3786.628
0,0,7240.86
0,0,6238.962
0,1,675.321
0,0,0
1,0,24909.45
0,0,18716.88
1,1,7458.105
0,0,18573.55
1,1,9642.999
0,1,0
0,0,25564.67
1,1,6281.433
1,1,743.6666
0,1,0
1,1,8173.908
0,1,5647.871
0,1,4742.025
0,0,0
0,1,5173.521
1,1,26817.6
1,0,1254.582
0,0,23764.8
1,0,14581.86
0,1,14998.92
0,0,14475.81
1,1,0
0,0,24647
0,1,7781.708
0,1,25048.94
0,0,16324.45
0,1,6494.608
0,1,0
1,1,0
0,1,15363.92
1,0,647.2046
0,1,0
0,0,0
0,0,4162.756
1,0,9983.784
0,1,1421.573
1,1,0
1,1,0
0,1,0
0,1,5752.79
0,0,12059.73
0,1,13976.34
1,1,4232.309
0,1,959.0445
0,1,17023.41
0,1,0
1,0,0
1,1,4321.705
1,0,2164.022
1,0,0
1,1,3972.54
0,0,6389.69
0,0,4975.505
1,1,0
1,1,0
0,0,19588.74
0,1,11600.15
1,0,12558.02
0,0,25564.67
1,0,11965.81
0,1,0
0,1,6398.556
0,1,11075.56
1,1,0
0,1,0
0,1,0
0,1,7515.717
0,1,14116.72
1,1,0
0,0,13683.75
1,0,12418.07
